frame,cx_px,cy_px,vit_b16_cx_patch,vit_b16_cy_patch,dinov2_b_cx_patch,dinov2_b_cy_patch
0,22.0,112.0,1,7,1,8
1,24.841270446777344,113.11654663085938,1,7,1,8
2,27.682538986206055,114.23031616210938,1,7,1,8
3,30.5238094329834,115.33854675292969,1,7,2,8
4,33.36507797241211,116.4384765625,2,7,2,8
5,36.20634841918945,117.5273666381836,2,7,2,8
6,39.0476188659668,118.6025161743164,2,7,2,8
7,41.88888931274414,119.6612548828125,2,7,2,8
8,44.730159759521484,120.70094299316406,2,7,3,8
9,47.57143020629883,121.718994140625,2,7,3,8
10,50.412696838378906,122.712890625,3,7,3,8
11,53.25396728515625,123.68014526367188,3,7,3,8
12,56.095237731933594,124.61837005615234,3,7,4,8
13,58.93650817871094,125.52521514892578,3,7,4,8
14,61.77777862548828,126.39844512939453,3,7,4,9
15,64.61904907226562,127.23587036132812,4,7,4,9
16,67.46031951904297,128.03541564941406,4,8,4,9
17,70.30158996582031,128.79510498046875,4,8,5,9
18,73.14286041259766,129.51303100585938,4,8,5,9
19,75.98412322998047,130.18740844726562,4,8,5,9
20,78.82539367675781,130.8165740966797,4,8,5,9
21,81.66666412353516,131.3989715576172,5,8,5,9
22,84.5079345703125,131.93313598632812,5,8,6,9
23,87.34920501708984,132.417724609375,5,8,6,9
24,90.19047546386719,132.85157775878906,5,8,6,9
25,93.03174591064453,133.2335662841797,5,8,6,9
26,95.87301635742188,133.5627899169922,5,8,6,9
27,98.71428680419922,133.83837890625,6,8,7,9
28,101.55555725097656,134.0596923828125,6,8,7,9
29,104.3968276977539,134.22616577148438,6,8,7,9
30,107.23809814453125,134.33737182617188,6,8,7,9
31,110.0793685913086,134.39303588867188,6,8,7,9
32,112.9206314086914,134.39303588867188,7,8,8,9
33,115.76190185546875,134.33737182617188,7,8,8,9
34,118.6031723022461,134.22616577148438,7,8,8,9
35,121.44444274902344,134.0596923828125,7,8,8,9
36,124.28571319580078,133.83837890625,7,8,8,9
37,127.12698364257812,133.5627899169922,7,8,9,9
38,129.96824645996094,133.2335662841797,8,8,9,9
39,132.8095245361328,132.85157775878906,8,8,9,9
40,135.65078735351562,132.417724609375,8,8,9,9
41,138.4920654296875,131.93313598632812,8,8,9,9
42,141.3333282470703,131.3989715576172,8,8,10,9
43,144.1746063232422,130.8165740966797,9,8,10,9
44,147.015869140625,130.18740844726562,9,8,10,9
45,149.85714721679688,129.51303100585938,9,8,10,9
46,152.6984100341797,128.79510498046875,9,8,10,9
47,155.53968811035156,128.03541564941406,9,8,11,9
48,158.38095092773438,127.23587036132812,9,7,11,9
49,161.22222900390625,126.39844512939453,10,7,11,9
50,164.06349182128906,125.52521514892578,10,7,11,8
51,166.90475463867188,124.61837005615234,10,7,11,8
52,169.74603271484375,123.68014526367188,10,7,12,8
53,172.58729553222656,122.712890625,10,7,12,8
54,175.42857360839844,121.718994140625,10,7,12,8
55,178.26983642578125,120.70094299316406,11,7,12,8
56,181.11111450195312,119.6612548828125,11,7,12,8
57,183.95237731933594,118.6025161743164,11,7,13,8
58,186.7936553955078,117.5273666381836,11,7,13,8
59,189.63491821289062,116.4384765625,11,7,13,8
60,192.4761962890625,115.33854675292969,12,7,13,8
61,195.3174591064453,114.23031616210938,12,7,13,8
62,198.1587371826172,113.11654663085938,12,7,14,8
63,201.0,112.0,12,7,14,8
