baseline,layer,entropy_prec_mean,baseline_prec_mean,diff_mean,paired_bootstrap_p
L2 norm,1,0.2904999852180481,0.09100000560283661,0.19950000941753387,0.0
attn entropy,1,0.2904999852180481,0.20149999856948853,0.08899999409914017,0.0
random-init H,1,0.2904999852180481,0.13099999725818634,0.15950000286102295,0.0
L2 norm,2,0.27000001072883606,0.11233333498239517,0.1576666682958603,0.0
attn entropy,2,0.27000001072883606,0.12916667759418488,0.14083333313465118,0.0
random-init H,2,0.27000001072883606,0.1313333362340927,0.13866667449474335,0.0
L2 norm,3,0.2528333365917206,0.14500001072883606,0.10783332586288452,0.0
attn entropy,3,0.2528333365917206,0.156166672706604,0.09666667133569717,0.0
random-init H,3,0.2528333365917206,0.12999999523162842,0.12283334136009216,0.0
L2 norm,4,0.2460000067949295,0.16850002110004425,0.07750000059604645,0.0
attn entropy,4,0.2460000067949295,0.12983334064483643,0.11616666615009308,0.0
random-init H,4,0.2460000067949295,0.1171666830778122,0.1288333386182785,0.0
L2 norm,5,0.24016666412353516,0.19550003111362457,0.04466666653752327,0.0
attn entropy,5,0.24016666412353516,0.13066667318344116,0.10950000584125519,0.0
random-init H,5,0.24016666412353516,0.1418333500623703,0.09833333641290665,0.0
L2 norm,6,0.23600000143051147,0.2120000123977661,0.024000000208616257,0.0
attn entropy,6,0.23600000143051147,0.16966667771339417,0.0663333311676979,0.0
random-init H,6,0.23600000143051147,0.13516667485237122,0.10083334147930145,0.0
L2 norm,7,0.23616667091846466,0.22316667437553406,0.013000000268220901,0.038
attn entropy,7,0.23616667091846466,0.18033333122730255,0.05583333596587181,0.0
random-init H,7,0.23616667091846466,0.1366666853427887,0.09950000047683716,0.0
L2 norm,8,0.2356666773557663,0.21683333814144135,0.018833333626389503,0.002
attn entropy,8,0.2356666773557663,0.17866666615009308,0.056999996304512024,0.0
random-init H,8,0.2356666773557663,0.1315000206232071,0.1041666716337204,0.0
L2 norm,9,0.23650000989437103,0.2095000147819519,0.026999998837709427,0.0
attn entropy,9,0.23650000989437103,0.19883334636688232,0.03766666352748871,0.0
random-init H,9,0.23650000989437103,0.12183334678411484,0.11466667056083679,0.0
L2 norm,10,0.24116668105125427,0.22933334112167358,0.01183333434164524,0.128
attn entropy,10,0.24116668105125427,0.21450001001358032,0.026666665449738503,0.0
random-init H,10,0.24116668105125427,0.13366666436195374,0.10750000178813934,0.0
L2 norm,11,0.2508333623409271,0.2616666853427887,-0.010833334177732468,0.175
attn entropy,11,0.2508333623409271,0.12216667085886002,0.12866666913032532,0.0
random-init H,11,0.2508333623409271,0.12849999964237213,0.1223333477973938,0.0
L2 norm,12,0.23733334243297577,0.23883333802223206,-0.0014999986160546541,0.831
attn entropy,12,0.23733334243297577,0.2160000056028366,0.02133333496749401,0.001
random-init H,12,0.23733334243297577,0.13116666674613953,0.10616666823625565,0.0
