arch,view,knn5_acc,chance
vit_b16,whole_stack,0.005,0.007518796992481203
vit_b16,L5_post_trans,0.0,0.007518796992481203
vit_b16,L12_final,0.0,0.007518796992481203
vit_l16,whole_stack,0.01,0.007518796992481203
vit_l16,L5_post_trans,0.015000000000000003,0.007518796992481203
vit_l16,L24_final,0.005,0.007518796992481203
dinov2_b,whole_stack,0.0,0.007518796992481203
dinov2_b,L8_post_trans,0.01,0.007518796992481203
dinov2_b,L12_final,0.02,0.007518796992481203
clip_b16,whole_stack,0.0,0.007518796992481203
clip_b16,L7_post_trans,0.01,0.007518796992481203
clip_b16,L12_final,0.005,0.007518796992481203
