video,arch,layer,kfrac,k_ccs,metric,value
synth_translating_blob,vit_b16,5,0.02,1,bundle_iou,0.0
synth_translating_blob,vit_b16,5,0.02,5,bundle_iou,0.0
synth_translating_blob,vit_b16,5,0.02,20,bundle_iou,0.0
synth_translating_blob,vit_b16,5,0.02,50,bundle_iou,0.0
synth_translating_blob,vit_b16,5,0.02,100,bundle_iou,0.0
synth_translating_blob,vit_b16,5,0.02,250,bundle_iou,0.0
synth_translating_blob,vit_b16,5,0.02,1000,bundle_iou,0.0
synth_translating_blob,vit_b16,5,0.02,-1,per_frame_overlap,0.0
synth_translating_blob,vit_b16,5,0.05,1,bundle_iou,0.0
synth_translating_blob,vit_b16,5,0.05,5,bundle_iou,0.0
synth_translating_blob,vit_b16,5,0.05,20,bundle_iou,0.0
synth_translating_blob,vit_b16,5,0.05,50,bundle_iou,0.0
synth_translating_blob,vit_b16,5,0.05,100,bundle_iou,0.0
synth_translating_blob,vit_b16,5,0.05,250,bundle_iou,0.0
synth_translating_blob,vit_b16,5,0.05,1000,bundle_iou,0.0
synth_translating_blob,vit_b16,5,0.05,-1,per_frame_overlap,0.0
synth_translating_blob,vit_b16,5,0.1,1,bundle_iou,0.0
synth_translating_blob,vit_b16,5,0.1,5,bundle_iou,0.0
synth_translating_blob,vit_b16,5,0.1,20,bundle_iou,0.0
synth_translating_blob,vit_b16,5,0.1,50,bundle_iou,0.0
synth_translating_blob,vit_b16,5,0.1,100,bundle_iou,0.0
synth_translating_blob,vit_b16,5,0.1,250,bundle_iou,0.0
synth_translating_blob,vit_b16,5,0.1,1000,bundle_iou,0.0
synth_translating_blob,vit_b16,5,0.1,-1,per_frame_overlap,0.0
synth_translating_blob,vit_b16,5,0.2,1,bundle_iou,0.0
synth_translating_blob,vit_b16,5,0.2,5,bundle_iou,0.0
synth_translating_blob,vit_b16,5,0.2,20,bundle_iou,0.0
synth_translating_blob,vit_b16,5,0.2,50,bundle_iou,0.0
synth_translating_blob,vit_b16,5,0.2,100,bundle_iou,0.0
synth_translating_blob,vit_b16,5,0.2,250,bundle_iou,0.00039154267815191856
synth_translating_blob,vit_b16,5,0.2,1000,bundle_iou,0.002600780234070221
synth_translating_blob,vit_b16,5,0.2,-1,per_frame_overlap,0.003059690842455103
synth_translating_blob,vit_b16,5,0.05,-1,centroid_pearson_r_x,0.005780228504517801
synth_translating_blob,vit_b16,5,0.05,-1,centroid_pearson_r_y,-0.1943146149960695
synth_translating_blob,vit_b16,11,0.02,1,bundle_iou,0.0
synth_translating_blob,vit_b16,11,0.02,5,bundle_iou,0.0
synth_translating_blob,vit_b16,11,0.02,20,bundle_iou,0.0
synth_translating_blob,vit_b16,11,0.02,50,bundle_iou,0.0
synth_translating_blob,vit_b16,11,0.02,100,bundle_iou,0.0
synth_translating_blob,vit_b16,11,0.02,250,bundle_iou,0.0
synth_translating_blob,vit_b16,11,0.02,1000,bundle_iou,0.0
synth_translating_blob,vit_b16,11,0.02,-1,per_frame_overlap,0.0
synth_translating_blob,vit_b16,11,0.05,1,bundle_iou,0.0
synth_translating_blob,vit_b16,11,0.05,5,bundle_iou,0.0
synth_translating_blob,vit_b16,11,0.05,20,bundle_iou,0.0
synth_translating_blob,vit_b16,11,0.05,50,bundle_iou,0.0
synth_translating_blob,vit_b16,11,0.05,100,bundle_iou,0.0
synth_translating_blob,vit_b16,11,0.05,250,bundle_iou,0.0
synth_translating_blob,vit_b16,11,0.05,1000,bundle_iou,0.0
synth_translating_blob,vit_b16,11,0.05,-1,per_frame_overlap,0.0
synth_translating_blob,vit_b16,11,0.1,1,bundle_iou,0.0
synth_translating_blob,vit_b16,11,0.1,5,bundle_iou,0.0
synth_translating_blob,vit_b16,11,0.1,20,bundle_iou,0.0
synth_translating_blob,vit_b16,11,0.1,50,bundle_iou,0.0
synth_translating_blob,vit_b16,11,0.1,100,bundle_iou,0.0
synth_translating_blob,vit_b16,11,0.1,250,bundle_iou,0.0
synth_translating_blob,vit_b16,11,0.1,1000,bundle_iou,0.0
synth_translating_blob,vit_b16,11,0.1,-1,per_frame_overlap,0.0
synth_translating_blob,vit_b16,11,0.2,1,bundle_iou,0.0
synth_translating_blob,vit_b16,11,0.2,5,bundle_iou,0.0
synth_translating_blob,vit_b16,11,0.2,20,bundle_iou,0.0
synth_translating_blob,vit_b16,11,0.2,50,bundle_iou,0.0
synth_translating_blob,vit_b16,11,0.2,100,bundle_iou,0.0
synth_translating_blob,vit_b16,11,0.2,250,bundle_iou,0.00038109756097560977
synth_translating_blob,vit_b16,11,0.2,1000,bundle_iou,0.002600780234070221
synth_translating_blob,vit_b16,11,0.2,-1,per_frame_overlap,0.0029065358308018653
synth_translating_blob,vit_b16,11,0.05,-1,centroid_pearson_r_x,-0.1509857652960819
synth_translating_blob,vit_b16,11,0.05,-1,centroid_pearson_r_y,0.01705819160230931
synth_translating_blob,dinov2_b,5,0.02,1,bundle_iou,0.0
synth_translating_blob,dinov2_b,5,0.02,5,bundle_iou,0.0
synth_translating_blob,dinov2_b,5,0.02,20,bundle_iou,0.008955223880597015
synth_translating_blob,dinov2_b,5,0.02,50,bundle_iou,0.01662049861495845
synth_translating_blob,dinov2_b,5,0.02,100,bundle_iou,0.016861219195849545
synth_translating_blob,dinov2_b,5,0.02,250,bundle_iou,0.027303754266211604
synth_translating_blob,dinov2_b,5,0.02,1000,bundle_iou,0.027303754266211604
synth_translating_blob,dinov2_b,5,0.02,-1,per_frame_overlap,0.06728783369408368
synth_translating_blob,dinov2_b,5,0.05,1,bundle_iou,0.0
synth_translating_blob,dinov2_b,5,0.05,5,bundle_iou,0.033950617283950615
synth_translating_blob,dinov2_b,5,0.05,20,bundle_iou,0.05804749340369393
synth_translating_blob,dinov2_b,5,0.05,50,bundle_iou,0.06060606060606061
synth_translating_blob,dinov2_b,5,0.05,100,bundle_iou,0.0688622754491018
synth_translating_blob,dinov2_b,5,0.05,250,bundle_iou,0.07063829787234042
synth_translating_blob,dinov2_b,5,0.05,1000,bundle_iou,0.07307692307692308
synth_translating_blob,dinov2_b,5,0.05,-1,per_frame_overlap,0.11562933273350745
synth_translating_blob,dinov2_b,5,0.1,1,bundle_iou,0.21406727828746178
synth_translating_blob,dinov2_b,5,0.1,5,bundle_iou,0.1928406466512702
synth_translating_blob,dinov2_b,5,0.1,20,bundle_iou,0.15691489361702127
synth_translating_blob,dinov2_b,5,0.1,50,bundle_iou,0.1349380014587892
synth_translating_blob,dinov2_b,5,0.1,100,bundle_iou,0.11813537675606642
synth_translating_blob,dinov2_b,5,0.1,250,bundle_iou,0.1076158940397351
