L,synth_t_std,real_t_std,const_t_std,const_over_real,const_over_synth
1,0.0014112028,0.033213332,0.00039827195,0.011991328,0.28222162
2,0.00345565,0.039284907,0.004106309,0.10452637,1.1882883
3,0.0072555393,0.04373423,0.045216568,1.0338942,6.2320065
4,0.0050877826,0.037899602,0.048139866,1.2701945,9.461856
5,0.006797852,0.02669249,0.05678198,2.1272643,8.35293
6,0.012450114,0.029731764,0.06242663,2.099661,5.014141
7,0.012874591,0.031261537,0.0525679,1.6815519,4.083073
8,0.010551183,0.025767282,0.04935409,1.9153782,4.6775885
9,0.010428883,0.027614957,0.07989834,2.8932996,7.661256
10,0.017843073,0.027147025,0.061985407,2.2833223,3.4739199
11,0.016599772,0.021639422,0.052941483,2.4465294,3.1892896
12,0.012413493,0.028406216,0.06243225,2.1978376,5.029386
13,0.009755977,0.02733064,0.074373595,2.7212532,7.6233873
14,0.011776931,0.030004498,0.084929496,2.8305588,7.2115135
15,0.010934123,0.039333902,0.096019365,2.441135,8.781625
16,0.012873231,0.030588005,0.07185604,2.3491573,5.581818
17,0.01142908,0.037077423,0.07155921,1.9299942,6.2611527
18,0.012400107,0.030248383,0.0646579,2.1375654,5.214301
19,0.01295557,0.029545914,0.061516613,2.0820684,4.7482753
20,0.015894553,0.03062084,0.051325805,1.6761724,3.2291443
21,0.017964737,0.035101984,0.049099598,1.3987699,2.7331097
22,0.0240322,0.0362222,0.03595135,0.99252254,1.4959658
23,0.021179698,0.03026967,0.027127003,0.8961777,1.2808021
24,0.0043676863,0.014351227,0.015963798,1.1123646,3.6549783
