L,top_thresh,n_top_voxels,edge_frac,n_components,largest_size,iou_largest_vs_gt,iou_topmask_vs_gt
1,0.08244660496711731,410,0.12682926829268293,27,381,0.15598290598290598,0.14688128772635814
2,0.12440556287765503,410,0.11463414634146342,22,389,0.23648648648648649,0.22580645161290322
3,0.12218068540096283,410,0.1073170731707317,19,392,0.19739696312364424,0.18997912317327767
4,0.10357165336608887,410,0.33170731707317075,98,271,0.06683168316831684,0.05166051660516605
5,0.09085185080766678,410,0.32682926829268294,98,286,0.04449648711943794,0.034482758620689655
6,0.08833612501621246,410,0.4317073170731707,116,235,0.0646900269541779,0.04395604395604396
7,0.07527440041303635,410,0.6780487804878049,175,13,0.0,0.01967799642218247
8,0.0802498310804367,410,0.6560975609756098,166,26,0.0,0.0017574692442882249
9,0.06976890563964844,410,0.8,144,24,0.0,0.005291005291005291
10,0.09099534898996353,410,0.6170731707317073,103,78,0.0,0.0
11,0.10825487971305847,410,0.5463414634146342,97,70,0.0,0.0017574692442882249
12,0.12381821125745773,410,0.6463414634146342,159,46,0.0,0.0
13,0.1886770874261856,410,0.7365853658536585,153,41,0.0,0.0
14,0.2613719701766968,410,0.8682926829268293,141,27,0.0,0.0
15,0.2801658809185028,410,0.9195121951219513,138,34,0.0,0.0
16,0.25538283586502075,410,0.9097560975609756,151,17,0.0,0.0
17,0.276342511177063,410,0.9195121951219513,141,34,0.0,0.0
18,0.24844194948673248,410,0.9146341463414634,131,37,0.0,0.0
19,0.25987014174461365,410,0.9195121951219513,139,16,0.0,0.0
20,0.2565690875053406,410,0.9219512195121952,145,21,0.0,0.0
21,0.24144800007343292,410,0.9170731707317074,118,56,0.0,0.0017574692442882249
22,0.27871009707450867,410,0.926829268292683,98,95,0.0,0.0017574692442882249
23,0.25832298398017883,410,0.9390243902439024,93,98,0.0,0.0
24,0.06263009458780289,410,0.8804878048780488,105,45,0.0,0.0
